Name Of Genre,Id,Enter Formula
Action,1,", new() {Id=""1"",Name=""Action"",Description=""Action""}"
Adventure,2,", new() {Id=""2"",Name=""Adventure"",Description=""Adventure""}"
Comedy,3,", new() {Id=""3"",Name=""Comedy"",Description=""Comedy""}"
Drama,4,", new() {Id=""4"",Name=""Drama"",Description=""Drama""}"
Slice of Life,5,", new() {Id=""5"",Name=""Slice of Life"",Description=""Slice of Life""}"
Fantasy,6,", new() {Id=""6"",Name=""Fantasy"",Description=""Fantasy""}"
Magic,7,", new() {Id=""7"",Name=""Magic"",Description=""Magic""}"
Supernatural,8,", new() {Id=""8"",Name=""Supernatural"",Description=""Supernatural""}"
Horror,9,", new() {Id=""9"",Name=""Horror"",Description=""Horror""}"
Mystery,10,", new() {Id=""10"",Name=""Mystery"",Description=""Mystery""}"
Psychological,11,", new() {Id=""11"",Name=""Psychological"",Description=""Psychological""}"
Romance,12,", new() {Id=""12"",Name=""Romance"",Description=""Romance""}"
Sci-Fi,12,", new() {Id=""12"",Name=""Sci-Fi"",Description=""Sci-Fi""}"
Cyberpunk,12,", new() {Id=""12"",Name=""Cyberpunk"",Description=""Cyberpunk""}"
Game,12,", new() {Id=""12"",Name=""Game"",Description=""Game""}"
Ecchi,12,", new() {Id=""12"",Name=""Ecchi"",Description=""Ecchi""}"
Demons,12,", new() {Id=""12"",Name=""Demons"",Description=""Demons""}"
Harem,12,", new() {Id=""12"",Name=""Harem"",Description=""Harem""}"
Josei,12,", new() {Id=""12"",Name=""Josei"",Description=""Josei""}"
Martial Arts,12,", new() {Id=""12"",Name=""Martial Arts"",Description=""Martial Arts""}"
Kids,12,", new() {Id=""12"",Name=""Kids"",Description=""Kids""}"
Historical,12,", new() {Id=""12"",Name=""Historical"",Description=""Historical""}"
Hentai,12,", new() {Id=""12"",Name=""Hentai"",Description=""Hentai""}"
Isekai,12,", new() {Id=""12"",Name=""Isekai"",Description=""Isekai""}"
Military,12,", new() {Id=""12"",Name=""Military"",Description=""Military""}"
Mecha,12,", new() {Id=""12"",Name=""Mecha"",Description=""Mecha""}"
Music,12,", new() {Id=""12"",Name=""Music"",Description=""Music""}"
Parody,12,", new() {Id=""12"",Name=""Parody"",Description=""Parody""}"
Police,12,", new() {Id=""12"",Name=""Police"",Description=""Police""}"
Post-Apocalyptic,12,", new() {Id=""12"",Name=""Post-Apocalyptic"",Description=""Post-Apocalyptic""}"
Reverse Harem,12,", new() {Id=""12"",Name=""Reverse Harem"",Description=""Reverse Harem""}"
School,12,", new() {Id=""12"",Name=""School"",Description=""School""}"
Seinen,12,", new() {Id=""12"",Name=""Seinen"",Description=""Seinen""}"
Shoujo,12,", new() {Id=""12"",Name=""Shoujo"",Description=""Shoujo""}"
Shoujo-ai,12,", new() {Id=""12"",Name=""Shoujo-ai"",Description=""Shoujo-ai""}"
Shounen,12,", new() {Id=""12"",Name=""Shounen"",Description=""Shounen""}"
Shounen-ai,12,", new() {Id=""12"",Name=""Shounen-ai"",Description=""Shounen-ai""}"
Space,12,", new() {Id=""12"",Name=""Space"",Description=""Space""}"
Sports,12,", new() {Id=""12"",Name=""Sports"",Description=""Sports""}"
Super Power,12,", new() {Id=""12"",Name=""Super Power"",Description=""Super Power""}"
Tragedy,12,", new() {Id=""12"",Name=""Tragedy"",Description=""Tragedy""}"
Vampire,12,", new() {Id=""12"",Name=""Vampire"",Description=""Vampire""}"
Yuri,12,", new() {Id=""12"",Name=""Yuri"",Description=""Yuri""}"
Yaoi,12,", new() {Id=""12"",Name=""Yaoi"",Description=""Yaoi""}"
