Name Of Manga,Chapter Num,Enter Formula
tsuki ga michibuki,77,", new() {Name=""tsuki ga michibuki"",Description=""tsuki ga michibuki"",Type=""5"",Chapters=77,LastChapterRead=77}"
The Beginning After The End,159,", new() {Name=""The Beginning After The End"",Description=""The Beginning After The End"",Type=""5"",Chapters=159,LastChapterRead=159}"
taming master,52,", new() {Name=""taming master"",Description=""taming master"",Type=""5"",Chapters=52,LastChapterRead=52}"
The gamer,377,", new() {Name=""The gamer"",Description=""The gamer"",Type=""5"",Chapters=377,LastChapterRead=377}"
the unwanted undead adventurer,34,", new() {Name=""the unwanted undead adventurer"",Description=""the unwanted undead adventurer"",Type=""5"",Chapters=34,LastChapterRead=34}"
Gaikotsu Kishi-sama,42,", new() {Name=""Gaikotsu Kishi-sama"",Description=""Gaikotsu Kishi-sama"",Type=""5"",Chapters=42,LastChapterRead=42}"
Parallel Paradise,159,", new() {Name=""Parallel Paradise"",Description=""Parallel Paradise"",Type=""5"",Chapters=159,LastChapterRead=159}"
"The Cursed Sword Master’s Harem Life By the Sword, For the Sword, Cursed Sword Master",14,", new() {Name=""The Cursed Sword Master’s Harem Life By the Sword, For the Sword, Cursed Sword Master"",Description=""The Cursed Sword Master’s Harem Life By the Sword, For the Sword, Cursed Sword Master"",Type=""5"",Chapters=14,LastChapterRead=14}"
Back to Rule Again,146,", new() {Name=""Back to Rule Again"",Description=""Back to Rule Again"",Type=""5"",Chapters=146,LastChapterRead=146}"
Kubo-san Doesn't Leave Me Be,79,", new() {Name=""Kubo-san Doesn't Leave Me Be"",Description=""Kubo-san Doesn't Leave Me Be"",Type=""5"",Chapters=79,LastChapterRead=79}"
The Eminence in Shadow ,31,", new() {Name=""The Eminence in Shadow "",Description=""The Eminence in Shadow "",Type=""5"",Chapters=31,LastChapterRead=31}"
Sono Mono. Nochi ni... ~Kigatsuitara S-kyuu Saikyou!? Yuusha Wazu no Daibouken~ ,27,", new() {Name=""Sono Mono. Nochi ni... ~Kigatsuitara S-kyuu Saikyou!? Yuusha Wazu no Daibouken~ "",Description=""Sono Mono. Nochi ni... ~Kigatsuitara S-kyuu Saikyou!? Yuusha Wazu no Daibouken~ "",Type=""5"",Chapters=27,LastChapterRead=27}"
"The World's Best Assassin, Reincarnated in a Different World as an Aristocrat",14,", new() {Name=""The World's Best Assassin, Reincarnated in a Different World as an Aristocrat"",Description=""The World's Best Assassin, Reincarnated in a Different World as an Aristocrat"",Type=""5"",Chapters=14,LastChapterRead=14}"
